age,level1,level2
0,0-10,*
1,0-10,*
2,0-10,*
3,0-10,*
4,0-10,*
5,0-10,*
6,0-10,*
7,0-10,*
8,0-10,*
9,0-10,*
10,10-20,*
11,10-20,*
12,10-20,*
13,10-20,*
14,10-20,*
15,10-20,*
16,10-20,*
17,10-20,*
18,10-20,*
19,10-20,*
20,20-30,*
21,20-30,*
22,20-30,*
23,20-30,*
24,20-30,*
25,20-30,*
26,20-30,*
27,20-30,*
28,20-30,*
29,20-30,*
30,30-40,*
31,30-40,*
32,30-40,*
33,30-40,*
34,30-40,*
35,30-40,*
36,30-40,*
37,30-40,*
38,30-40,*
39,30-40,*
40,40-50,*
41,40-50,*
42,40-50,*
43,40-50,*
44,40-50,*
45,40-50,*
46,40-50,*
47,40-50,*
48,40-50,*
49,40-50,*
50,50-60,*
51,50-60,*
52,50-60,*
53,50-60,*
54,50-60,*
55,50-60,*
56,50-60,*
57,50-60,*
58,50-60,*
59,50-60,*
60,60-70,*
61,60-70,*
62,60-70,*
63,60-70,*
64,60-70,*
65,60-70,*
66,60-70,*
67,60-70,*
68,60-70,*
69,60-70,*
70,70-80,*
71,70-80,*
72,70-80,*
73,70-80,*
74,70-80,*
75,70-80,*
76,70-80,*
77,70-80,*
78,70-80,*
79,70-80,*
80,80-90,*
81,80-90,*
82,80-90,*
83,80-90,*
84,80-90,*
85,80-90,*
86,80-90,*
87,80-90,*
88,80-90,*
89,80-90,*
90,90-100,*
