age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
30-40,Private,51471,Secondary,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,North-America,<=50K
60-70,State-gov,163689,Secondary,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,North-America,<=50K
50-60,Private,158827,Secondary,Separated,Craft-repair,Unmarried,White,Male,0,0,40,North-America,<=50K
20-30,Private,204641,Secondary,Never-married,Other-service,Own-child,White,Male,0,0,40,North-America,<=50K
30-40,Private,111363,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,North-America,>50K
20-30,Private,427744,Basic,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,North-America,<=50K
20-30,Unknown,424884,Basic,Separated,Unknown,Not-in-family,White,Male,0,0,30,North-America,<=50K
50-60,Private,334273,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,North-America,<=50K
30-40,Private,279173,Secondary,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,North-America,<=50K
30-40,Self-emp-not-inc,114366,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,North-America,<=50K
50-60,Private,197975,Basic,Married-civ-spouse,Sales,Husband,White,Male,0,0,51,North-America,<=50K
40-50,State-gov,126701,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,North-America,>50K
40-50,Private,347934,Secondary,Separated,Sales,Not-in-family,White,Female,0,0,30,North-America,<=50K
50-60,Self-emp-not-inc,234841,Secondary,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,North-America,<=50K
40-50,Private,267717,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,42,North-America,>50K
30-40,Self-emp-not-inc,151322,Secondary,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,North-America,<=50K
20-30,Local-gov,180916,Secondary,Separated,Adm-clerical,Unmarried,White,Female,0,0,38,North-America,<=50K
10-20,Private,143791,Basic,Never-married,Other-service,Own-child,Black,Female,0,0,12,North-America,<=50K
20-30,Self-emp-not-inc,162298,Higher,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,North-America,>50K
