age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
40-50,Local-gov,98738,*,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
20-30,Private,208908,*,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
30-40,Unknown,205396,*,Widowed,Unknown,Not-in-family,White,Female,0,0,4,United-States,<=50K
40-50,Unknown,112860,*,Married-civ-spouse,Unknown,Wife,Black,Female,0,0,35,United-States,<=50K
30-40,State-gov,184659,*,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,40,United-States,>50K
30-40,Private,284616,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
50-60,Self-emp-not-inc,159876,*,Married-civ-spouse,Craft-repair,Husband,Black,Male,3103,0,72,United-States,<=50K
20-30,Private,78170,*,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,<=50K
20-30,Private,215247,*,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
60-70,Private,23580,*,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
50-60,Private,133819,*,Separated,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K
40-50,Private,187969,*,Never-married,Sales,Not-in-family,White,Female,0,0,38,United-States,<=50K
20-30,Private,203871,*,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,40,United-States,>50K
30-40,Private,26987,*,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
20-30,Private,386864,*,Never-married,Other-service,Other-relative,White,Male,0,0,35,Mexico,<=50K
40-50,Self-emp-not-inc,98985,*,Divorced,Exec-managerial,Not-in-family,Black,Male,0,0,50,United-States,<=50K
20-30,Private,60722,*,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
30-40,Private,341187,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
40-50,Private,109762,*,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
20-30,Private,42279,*,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
50-60,Self-emp-not-inc,325732,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,52,United-States,>50K
30-40,Private,174201,*,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,<=50K
50-60,Private,69884,*,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
*,Private,162551,*,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,*,0,0,40,*,>50K
20-30,Local-gov,206125,*,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
20-30,Federal-gov,178517,*,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
50-60,Private,194908,*,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
50-60,Unknown,361870,*,Married-civ-spouse,Unknown,Husband,Black,Male,0,0,30,United-States,<=50K
20-30,Private,163595,*,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K
50-60,Self-emp-not-inc,94432,*,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,>50K
*,Unknown,202874,*,Separated,Unknown,Unmarried,White,*,0,0,40,*,<=50K
50-60,Private,168625,*,Divorced,Prof-specialty,Not-in-family,White,Female,4101,0,40,United-States,<=50K
40-50,State-gov,183710,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
70-80,Self-emp-not-inc,336007,*,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
20-30,Private,29865,*,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,50,United-States,<=50K
30-40,Private,155781,*,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
30-40,State-gov,119272,*,Married-civ-spouse,Protective-serv,Husband,White,Male,7298,0,40,United-States,>50K
70-80,State-gov,210673,*,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,28,United-States,<=50K
10-20,Private,125591,*,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
40-50,Private,225454,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
40-50,Private,260761,*,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
40-50,Private,112283,*,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
20-30,Private,487347,*,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
60-70,Private,225970,*,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
50-60,Self-emp-not-inc,249368,*,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,<=50K
50-60,Private,156843,*,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,54,United-States,>50K
50-60,Private,314149,*,Married-civ-spouse,Sales,Husband,White,Male,0,1740,50,United-States,<=50K
40-50,Private,180309,*,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K
50-60,Self-emp-not-inc,95763,*,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
30-40,Private,374833,*,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
20-30,Private,84648,*,Never-married,Sales,Own-child,White,Female,0,0,25,United-States,<=50K
20-30,Private,280093,*,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Mexico,<=50K
20-30,Private,103277,*,Never-married,Adm-clerical,Not-in-family,White,Female,2597,0,40,United-States,<=50K
40-50,Private,330416,*,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
20-30,Private,239539,*,Married-spouse-absent,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
*,Private,170846,*,Married-civ-spouse,Adm-clerical,Wife,White,*,0,0,40,*,>50K
40-50,Private,111483,*,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
20-30,Private,247819,*,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,15,United-States,<=50K
30-40,Private,220585,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
40-50,Private,187861,*,Separated,Transport-moving,Unmarried,White,Female,0,0,44,United-States,<=50K
40-50,Private,248059,*,Married-civ-spouse,Other-service,Husband,White,Male,0,0,47,United-States,>50K
30-40,Private,326104,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
40-50,State-gov,189123,*,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
30-40,Private,184655,*,Divorced,Transport-moving,Unmarried,White,Male,0,0,48,United-States,<=50K
40-50,Private,225456,*,Never-married,Tech-support,Other-relative,White,Male,0,0,50,United-States,<=50K
20-30,Self-emp-not-inc,213258,*,Divorced,Farming-fishing,Unmarried,White,Male,0,0,65,United-States,<=50K
50-60,Private,50164,*,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
10-20,Private,96483,*,Never-married,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
20-30,Private,141481,*,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,50,United-States,<=50K
*,Private,88061,*,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,*,0,0,40,*,<=50K
30-40,Local-gov,265038,*,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
20-30,Private,37202,*,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
40-50,Private,264210,*,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,20,United-States,<=50K
50-60,Local-gov,268252,*,Divorced,Adm-clerical,Unmarried,White,Female,0,0,62,United-States,<=50K
20-30,Private,290213,*,Separated,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
50-60,Self-emp-not-inc,193374,*,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
50-60,Private,58985,*,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,24,United-States,<=50K
30-40,Private,62165,*,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
70-80,Unknown,201375,*,Widowed,Unknown,Not-in-family,White,Female,0,0,40,United-States,<=50K
