age,workclass,fnlwgt,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
*,Private,123178,Basic,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
*,Private,194905,Secondary,Never-married,Other-service,Own-child,White,Female,0,0,12,United-States,<=50K
*,Private,40077,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
*,Private,328301,Higher,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K
*,Private,60639,Secondary,Never-married,Other-service,Not-in-family,White,Female,0,0,37,United-States,<=50K
*,Private,115488,Secondary,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
*,Self-emp-not-inc,348739,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
*,Private,185106,Secondary,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K
*,Self-emp-inc,204447,Secondary,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Self-emp-not-inc,97277,Higher,Divorced,Other-service,Unmarried,White,Female,0,0,10,United-States,<=50K
*,Private,406641,Secondary,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
*,Private,283320,Higher,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
*,Private,138852,Secondary,Married-civ-spouse,Other-service,Husband,White,Male,7298,0,40,El-Salvador,>50K
*,Private,27766,Higher,Separated,Exec-managerial,Unmarried,White,Male,0,0,60,United-States,>50K
*,Private,155064,Higher,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
*,State-gov,340269,Secondary,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,114032,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
*,Private,181721,Basic,Never-married,Farming-fishing,Own-child,Black,Male,0,0,60,United-States,<=50K
*,Private,423711,Secondary,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
*,Self-emp-not-inc,176185,Higher,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Iran,<=50K
*,Private,193830,Basic,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
*,Private,485496,Secondary,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K
*,Private,156015,Higher,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Unknown,159303,Higher,Married-civ-spouse,Unknown,Wife,White,Female,0,0,4,United-States,<=50K
*,Private,184183,Secondary,Divorced,Machine-op-inspct,Not-in-family,White,Male,4650,0,40,United-States,<=50K
*,Private,150324,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
*,Self-emp-inc,277256,Higher,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
*,Private,126414,Higher,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Unknown,<=50K
*,Self-emp-not-inc,201328,Basic,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,56,United-States,<=50K
*,Private,269665,Secondary,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,25,United-States,<=50K
*,Unknown,133166,Higher,Married-civ-spouse,Unknown,Husband,White,Male,0,0,12,United-States,<=50K
*,Private,176321,Secondary,Never-married,Adm-clerical,Other-relative,White,Female,0,0,20,United-States,<=50K
*,Private,279679,Secondary,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
*,Private,63910,Secondary,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
*,Private,75891,Higher,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
*,Private,115803,Basic,Divorced,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
*,Private,113326,Secondary,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
*,Private,185551,Secondary,Never-married,Sales,Own-child,White,Female,0,0,36,United-States,<=50K
*,Private,423222,Higher,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,>50K
*,Private,119665,Secondary,Never-married,Tech-support,Own-child,White,Male,0,0,35,United-States,<=50K
*,Local-gov,92262,Secondary,Never-married,Protective-serv,Own-child,White,Male,0,0,48,United-States,<=50K
*,Private,197080,Secondary,Widowed,Adm-clerical,Unmarried,White,Male,0,0,8,United-States,<=50K
*,Unknown,282622,Secondary,Divorced,Unknown,Unmarried,White,Female,0,0,28,United-States,<=50K
*,Federal-gov,70240,Secondary,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
